City_ID,City,Lat,Lng,Max Temp,Humidity,Cloudiness,Wind Speed,Country,Date
0,primorsk,46.7348,36.3443,52.09,67,99,24.45,UA,1681172846
1,grindavik,63.8424,-22.4338,40.95,93,75,5.75,IS,1681172846
2,port alfred,-33.5906,26.891,57.18,65,25,5.99,ZA,1681172847
3,tuy hoa,13.0833,109.3,77.41,81,88,2.64,VN,1681172847
4,hamilton,39.1834,-84.5333,65.17,36,0,0.0,US,1681172570
5,ushuaia,-54.8,-68.3,42.46,81,75,26.46,AR,1681172848
6,arraial do cabo,-22.9661,-42.0278,74.48,72,6,4.47,BR,1681172699
7,half moon bay,37.4636,-122.4286,76.57,76,100,21.85,US,1681172848
8,kaili,-3.4626,120.2147,74.26,71,37,1.21,ID,1681172849
9,hilo,19.7297,-155.09,79.29,87,85,8.99,US,1681172800
10,souillac,-20.5167,57.5167,77.38,94,75,2.3,MU,1681172849
11,kodiak,57.79,-152.4072,38.71,30,0,6.91,US,1681172849
12,mataura,-46.1927,168.8643,52.48,99,100,2.64,NZ,1681172849
13,sakaiminato,35.55,133.2333,67.93,59,20,4.61,JP,1681172850
14,tessalit,20.1986,1.0114,78.51,15,100,5.75,ML,1681172850
15,severo-kurilsk,50.6789,156.125,30.63,84,87,36.98,RU,1681172850
16,ponta delgada,37.7333,-25.6667,61.52,88,75,5.75,PT,1681172851
17,chuy,-33.6971,-53.4616,66.15,87,35,7.38,UY,1681172851
18,castro,-24.7911,-50.0119,60.04,89,30,3.96,BR,1681172851
19,saint george,37.1041,-113.5841,88.39,13,0,9.22,US,1681172852
20,ponta do sol,32.6667,-17.1,68.63,53,0,7.09,PT,1681172852
21,albany,42.6001,-73.9662,55.92,40,19,4.38,US,1681172737
22,blackwater,-23.5833,148.8833,79.68,26,0,3.0,AU,1681172852
23,iquitos,-3.7481,-73.2472,78.84,83,40,4.61,PE,1681172853
24,port moresby,-9.4431,147.1797,87.22,62,40,3.44,PG,1681172853
25,busselton,-33.65,115.3333,64.8,68,33,10.02,AU,1681172853
26,atuona,-9.8,-139.0333,81.1,80,20,14.94,PF,1681172854
27,nanortalik,60.1432,-45.2371,33.75,91,100,1.97,GL,1681172854
28,deputatskiy,69.3,139.9,-1.32,74,10,1.39,RU,1681172854
29,butaritari,3.0707,172.7902,80.71,82,63,11.72,KI,1681172855
30,punta arenas,-53.15,-70.9167,44.71,76,20,27.63,CL,1681172855
